Mes;Tipo Pago;Provincia;Rango Edad;Genero;Sector;Tipo Empleador;Nacionalidad;Valor Pagado;Número Beneficiarios
7;Fijo;AZUAY;30 - 35 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;30 - 35 años;MASCULINO;PRIVADA;1- INSTITUCION FINANCIERA PRIVADA, BANCOS Y CIA DE SEGUROS22.50%;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;30 - 35 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;910,76;4
7;Fijo;AZUAY;30 - 35 años;MASCULINO;PRIVADA;31- MICRO EMPRESA (NO ARTESANAL);239  -  ECUATORIANA;244,4;1
7;Fijo;AZUAY;30 - 35 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;1.120;4
7;Fijo;AZUAY;30 - 35 años;MASCULINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;30 - 35 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;840;3
7;Fijo;AZUAY;35 - 40 años;FEMENINO;PRIVADA;1- INSTITUCION FINANCIERA PRIVADA, BANCOS Y CIA DE SEGUROS22.50%;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;35 - 40 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.400;5
7;Fijo;AZUAY;35 - 40 años;FEMENINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;35 - 40 años;FEMENINO;PRIVADA;8-ARTESANAL;239  -  ECUATORIANA;226,48;1
7;Fijo;AZUAY;35 - 40 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;35 - 40 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;35 - 40 años;FEMENINO;PUBLICA;16-ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR;212  -  ESPAÑOLA;280;1
7;Fijo;AZUAY;35 - 40 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;3.818,86;14
7;Fijo;AZUAY;35 - 40 años;MASCULINO;PRIVADA;27-COOPERA  NO CONTROLADAS POR LA SUPERINTENDENCIA  DE BANCOS;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;35 - 40 años;MASCULINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;35 - 40 años;MASCULINO;PRIVADA;6-CONSTRUCCION;378  -  PERUANA;280;1
7;Fijo;AZUAY;35 - 40 años;MASCULINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;35 - 40 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;40 - 45 años;FEMENINO;PRIVADA;1- INSTITUCION FINANCIERA PRIVADA, BANCOS Y CIA DE SEGUROS22.50%;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;40 - 45 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.400;5
7;Fijo;AZUAY;40 - 45 años;FEMENINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;40 - 45 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;40 - 45 años;FEMENINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;40 - 45 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;40 - 45 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.383;4
7;Fijo;AZUAY;40 - 45 años;MASCULINO;PRIVADA;27-COOPERA  NO CONTROLADAS POR LA SUPERINTENDENCIA  DE BANCOS;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;40 - 45 años;MASCULINO;PRIVADA;28-OTRAS FINANC. PRIVAD, MUTUALISTAS ETC.20.50%;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;40 - 45 años;MASCULINO;PRIVADA;6-CONSTRUCCION;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;40 - 45 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;45 - 50 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.083,80;4
7;Fijo;AZUAY;45 - 50 años;FEMENINO;PRIVADA;25-EMPLEADOR DOMESTICO;239  -  ECUATORIANA;140;1
7;Fijo;AZUAY;45 - 50 años;FEMENINO;PRIVADA;27-COOPERA  NO CONTROLADAS POR LA SUPERINTENDENCIA  DE BANCOS;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;45 - 50 años;FEMENINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;45 - 50 años;FEMENINO;PRIVADA;8-ARTESANAL;239  -  ECUATORIANA;420;2
7;Fijo;AZUAY;45 - 50 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;45 - 50 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;840;3
7;Fijo;AZUAY;45 - 50 años;MASCULINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;202,55;1
7;Fijo;AZUAY;45 - 50 años;MASCULINO;PRIVADA;8-ARTESANAL;456  -  VENEZOLANA;280;1
7;Fijo;AZUAY;45 - 50 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;1.120;4
7;Fijo;AZUAY;45 - 50 años;MASCULINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;45 - 50 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;50 - 55 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.960;7
7;Fijo;AZUAY;50 - 55 años;FEMENINO;PRIVADA;25-EMPLEADOR DOMESTICO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;50 - 55 años;FEMENINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;50 - 55 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;50 - 55 años;FEMENINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;50 - 55 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;50 - 55 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.400;5
7;Fijo;AZUAY;50 - 55 años;MASCULINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;50 - 55 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;55 - 60 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;245,92;2
7;Fijo;AZUAY;55 - 60 años;FEMENINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;108,43;1
7;Fijo;AZUAY;55 - 60 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;55 - 60 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;60 - 65 años;FEMENINO;PRIVADA;25-EMPLEADOR DOMESTICO;239  -  ECUATORIANA;121,33;1
7;Fijo;AZUAY;60 - 65 años;MASCULINO;PRIVADA;6-CONSTRUCCION;239  -  ECUATORIANA;158,63;1
7;Fijo;AZUAY;60 - 65 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;60 - 65 años;MASCULINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;Mas de 65 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;20 - 25 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;265,2;1
7;Fijo;BOLIVAR;20 - 25 años;FEMENINO;PUBLICA;16-ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;25 - 30 años;FEMENINO;PRIVADA;7-AGRICOLA LABORES DE CAMPO;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;25 - 30 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;2.041,32;8
7;Fijo;BOLIVAR;25 - 30 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;25 - 30 años;MASCULINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;30 - 35 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;560;2
7;Fijo;BOLIVAR;30 - 35 años;FEMENINO;PRIVADA;7-AGRICOLA LABORES DE CAMPO;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;30 - 35 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;2.136,40;8
7;Fijo;BOLIVAR;30 - 35 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;30 - 35 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;555,22;2
7;Fijo;BOLIVAR;30 - 35 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;30 - 35 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;560;2
7;Fijo;BOLIVAR;35 - 40 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;537,06;2
7;Fijo;BOLIVAR;35 - 40 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;2.439,95;9
7;Fijo;BOLIVAR;35 - 40 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;529,72;2
7;Fijo;BOLIVAR;35 - 40 años;MASCULINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;131,51;1
7;Fijo;BOLIVAR;40 - 45 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;40 - 45 años;FEMENINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;40 - 45 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;1.338,04;5
7;Fijo;BOLIVAR;40 - 45 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;40 - 45 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;45 - 50 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;45 - 50 años;FEMENINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;45 - 50 años;FEMENINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;45 - 50 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;45 - 50 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;45 - 50 años;MASCULINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;50 - 55 años;FEMENINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;50 - 55 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;560;2
7;Fijo;BOLIVAR;50 - 55 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;50 - 55 años;MASCULINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;BOLIVAR;55 - 60 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;265,2;1
7;Fijo;BOLIVAR;55 - 60 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;1.400;5
7;Fijo;BOLIVAR;60 - 65 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;116,3;1
7;Fijo;CAÑAR;20 - 25 años;MASCULINO;PRIVADA;4-AGRICOLA SEGURO GENERAL;239  -  ECUATORIANA;226,7;1
7;Fijo;CAÑAR;25 - 30 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;25 - 30 años;FEMENINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;25 - 30 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.203,99;5
7;Fijo;CAÑAR;25 - 30 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;560;2
7;Fijo;CAÑAR;25 - 30 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;30 - 35 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;30 - 35 años;FEMENINO;PRIVADA;4-AGRICOLA SEGURO GENERAL;239  -  ECUATORIANA;261,65;1
7;Fijo;CAÑAR;30 - 35 años;FEMENINO;PRIVADA;8-ARTESANAL;239  -  ECUATORIANA;81,67;1
7;Fijo;CAÑAR;30 - 35 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;840;3
7;Fijo;CAÑAR;30 - 35 años;FEMENINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;177,7;1
7;Fijo;CAÑAR;30 - 35 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;30 - 35 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;560;2
7;Fijo;CAÑAR;30 - 35 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;35 - 40 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;840;3
7;Fijo;CAÑAR;35 - 40 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;35 - 40 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;560;2
7;Fijo;CAÑAR;35 - 40 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;378  -  PERUANA;280;1
7;Fijo;CAÑAR;35 - 40 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;560;2
7;Fijo;CAÑAR;35 - 40 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;40 - 45 años;FEMENINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;40 - 45 años;MASCULINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;560;2
7;Fijo;CAÑAR;45 - 50 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;45 - 50 años;FEMENINO;PRIVADA;25-EMPLEADOR DOMESTICO;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;45 - 50 años;FEMENINO;PRIVADA;27-COOPERA  NO CONTROLADAS POR LA SUPERINTENDENCIA  DE BANCOS;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;45 - 50 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;45 - 50 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;45 - 50 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;378  -  PERUANA;259,95;1
7;Fijo;CAÑAR;50 - 55 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;532,41;2
7;Fijo;CAÑAR;50 - 55 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;560;2
7;Fijo;CAÑAR;50 - 55 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;55 - 60 años;FEMENINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;55 - 60 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;55 - 60 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;CAÑAR;Mas de 65 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;CARCHI;25 - 30 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;513,47;2
7;Fijo;CARCHI;25 - 30 años;FEMENINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;CARCHI;25 - 30 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.400;5
7;Fijo;CARCHI;25 - 30 años;MASCULINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;280;1
